Bacteroides.fragilis.16S.rRNA
Bacteroides.fragilis.23S.rRNA
Bacteroides.fragilis.bft
Escherichia.coli.16S.rRNA
pks+.Escherichia.coli.clbB
Fusobacterium.nucleatum.23S.rRNA
Fusobacterium.nucleatum.fadA
Human.papillomavirus.16.E6
Human.papillomavirus.16.E7
Human.papillomavirus.18.E4
Human.papillomavirus.18.E7
BRAF_p.V600E_ALT:T
BRAF_p.V600E_WT
KRAS_p.G12D_ALT:T
KRAS_p.G12V_ALT:A
KRAS_p.G12V_WT
PIK3CA_p.E545K_ALT:A
PIK3CA_p.E545K_WT
